"","year","gross","budget","genres1","genres2","genres3","genres4","genres5","genres6"
"76",1995,88246220,1.75e+08,"Action","Adventure","Sci-Fi",NA,NA,NA
"77",2009,150167630,1.75e+08,"Action","Adventure","Sci-Fi","Thriller",NA,NA
"78",2015,356454367,1.75e+08,"Action","Adventure","Sci-Fi","Thriller",NA,NA
"79",2016,362645141,1.75e+08,"Adventure","Animation","Comedy","Drama","Family","Fantasy"
"80",2010,312057433,2e+08,"Adventure","Drama","Family","Fantasy",NA,NA
"81",2012,155111815,1.7e+08,"Action","Adventure","Sci-Fi",NA,NA,NA
"82",2014,241407328,1.8e+08,"Action","Adventure","Drama","Fantasy",NA,NA
"83",2014,208543795,1.7e+08,"Action","Adventure","Family","Fantasy","Romance",NA
"84",2015,NA,NA,"Action","Adventure","Drama","Sci-Fi",NA,NA
"85",2013,38297305,1.75e+08,"Action","Adventure","Romance","Sci-Fi",NA,NA
"86",2014,259746958,1.7e+08,"Action","Adventure","Drama","Fantasy",NA,NA
"87",2010,238371987,1.65e+08,"Action","Adventure","Sci-Fi",NA,NA,NA
"88",2015,93417865,1.9e+08,"Adventure","Animation","Comedy","Family","Fantasy",NA
"89",2014,222487711,1.65e+08,"Action","Adventure","Family","Mystery","Sci-Fi",NA
"90",2012,189412677,1.65e+08,"Action","Adventure","Animation","Comedy","Drama","Family"
"91",2004,665426,1.65e+08,"Adventure","Animation","Comedy","Family","Sci-Fi",NA
"92",2016,102315545,1.65e+08,"Adventure","Animation","Family","Fantasy",NA,NA
"93",2010,217387997,1.65e+08,"Action","Adventure","Sci-Fi",NA,NA,NA
"94",2003,150350192,2e+08,"Adventure","Animation","Family","Fantasy",NA,NA
"95",2014,333130696,1.7e+08,"Action","Sci-Fi",NA,NA,NA,NA
"96",2014,187991439,1.65e+08,"Action","Adventure","Sci-Fi",NA,NA,NA
"97",2010,292568851,1.6e+08,"Adventure","Drama","Sci-Fi",NA,NA,NA
"98",2016,NA,NA,"Action","Adventure","Sci-Fi","Thriller",NA,NA
"99",2012,303001229,1.8e+08,"Action","Adventure","Drama","Horror","Sci-Fi",NA
"100",2001,144512310,3.8e+07,"Adventure","Fantasy",NA,NA,NA,NA
"101",2008,127490802,1.5e+08,"Action","Crime","Thriller",NA,NA,NA
"102",2011,146405371,1.6e+08,"Drama","Fantasy","Romance",NA,NA,NA
"103",2015,281666058,1.6e+08,"Action","Adventure","Sci-Fi",NA,NA,NA
"104",2010,63143812,1.5e+08,"Adventure","Sci-Fi",NA,NA,NA,NA
"105",2006,60655503,1.6e+08,"Action","Adventure","Family","Fantasy",NA,NA
"106",2016,76846624,1.7e+08,"Action","Adventure","Drama","Thriller",NA,NA
"107",2007,320706665,1.6e+08,"Adventure","Family","Fantasy",NA,NA,NA
"108",2016,46978995,1.6e+08,"Adventure","Animation","Comedy","Family","Fantasy",NA
"109",2015,89732035,1.55e+08,"Action","Adventure","Fantasy",NA,NA,NA
"110",2010,104383624,1.55e+08,"Action","Adventure","Sci-Fi",NA,NA,NA
"111",2001,198539855,1.4e+08,"Adventure","Family","Fantasy",NA,NA,NA
"112",2007,318759914,1.5e+08,"Action","Drama","History","Romance","War",NA
"113",2004,34293771,1.55e+08,"Action","Adventure","Sci-Fi",NA,NA,NA
"114",2007,292000866,1.5e+08,"Action","Adventure","Biography","Drama","History","Romance"
"115",2005,289994397,1.5e+08,"Adventure","Family","Fantasy","Mystery",NA,NA
"116",2008,227946274,1.5e+08,"Adventure","Family","Fantasy","Mystery",NA,NA
"117",2007,256386216,1.5e+08,"Action","Drama",NA,NA,NA,NA
"118",2005,206456431,1.5e+08,"Drama","Horror","Sci-Fi",NA,NA,NA
"119",2007,206435493,1.5e+08,"Adventure","Comedy","Family","Fantasy",NA,NA
"120",2005,205343774,1.5e+08,"Animation","Comedy","Family","Fantasy",NA,NA
"121",2008,179982968,1.5e+08,"Action","Adventure",NA,NA,NA,NA
"122",2009,177243721,1.5e+08,"Action","Adventure","Animation","Comedy","Family",NA
"123",2009,179883016,1.5e+08,"Adventure","Comedy","Family","Fantasy",NA,NA
"124",2003,139259759,1.5e+08,"Action","Adventure","Fantasy","Sci-Fi","Thriller",NA
"125",2013,400736600,1.5e+08,"Action","Sci-Fi",NA,NA,NA,NA
"126",2003,281492479,1.5e+08,"Adventure","Animation","Comedy","Family","Fantasy","Musical"
"127",2013,206360018,1.7e+08,"Action","Sci-Fi",NA,NA,NA,NA
"128",2015,153629485,1.5e+08,"Action","Adventure","Fantasy",NA,NA,NA
"129",2009,133375846,1.5e+08,"Action","Adventure","Sci-Fi","Thriller",NA,NA
"130",2011,181015141,1.5e+08,"Mystery","Thriller",NA,NA,NA,NA
"131",2008,114053579,1.5e+08,"Action","Adventure","Fantasy",NA,NA,NA
"132",2009,119420252,1.5e+08,"Adventure","Animation","Comedy","Drama","Family",NA
"133",2012,83640426,1.5e+08,"Action","Adventure","Animation","Comedy","Family","Fantasy"
"134",2012,79711678,1e+08,"Action","Adventure","Fantasy",NA,NA,NA
"135",2015,195000874,1.5e+08,"Comedy","Fantasy","Horror",NA,NA,NA
"136",2010,61937495,1.5e+08,"Action","Adventure","Thriller",NA,NA,NA
"137",2016,124051759,1.8e+08,"Drama","Fantasy","Horror","Thriller",NA,NA
"138",2007,126597121,1.5e+08,"Action","Adventure","Drama","Romance",NA,NA
"139",2011,165230261,1.5e+08,"Adventure","Animation","Comedy","Family",NA,NA
"140",2010,131564731,1.5e+08,"Action","Adventure","Animation","Comedy","Family",NA
"141",2006,133382309,1.5e+08,"Action","Adventure","Family","Fantasy",NA,NA
"142",2013,73103784,1.5e+08,"Action","Adventure","Thriller",NA,NA,NA
"143",2011,21379315,1.5e+08,"Action","Drama","Thriller",NA,NA,NA
