"","year","gross","budget","genres1","genres2","genres3","genres4","genres5","genres6"
"1162",2002,41543207,4.2e+07,"Action","Comedy","Sport",NA,NA,NA
"1163",1996,41252428,4.2e+07,"Crime","Drama","Mystery","Thriller",NA,NA
"1164",2002,35228696,3.2e+07,"Comedy","Drama","Romance",NA,NA,NA
"1165",2009,59992760,4.2e+07,"Drama","Horror","Mystery","Thriller",NA,NA
"1166",1989,34667015,3.2e+07,"Comedy",NA,NA,NA,NA,NA
"1167",2011,37652565,4.2e+07,"Action","Adventure","Thriller",NA,NA,NA
"1168",2001,24375436,4.2e+07,"Fantasy","Horror","Mystery","Thriller",NA,NA
"1169",1993,20915465,4.2e+07,"Action","Crime","Drama","Thriller",NA,NA
"1170",2005,24127895,5e+07,"Adventure","Comedy","Family","Fantasy","Sci-Fi",NA
"1171",2002,84961,3.1e+07,"Crime","Drama","Thriller",NA,NA,NA
"1172",2012,26404753,4e+07,"Action","Adventure","History",NA,NA,NA
"1173",2014,6105175,4.4e+07,"Action","Comedy","Crime","Romance","Thriller",NA
"1174",2010,5664251,4.5e+07,"Comedy",NA,NA,NA,NA,NA
"1175",NA,NA,NA,"Action","Fantasy","Western",NA,NA,NA
"1176",2009,1260917,2.7e+07,"Comedy","War",NA,NA,NA,NA
"1177",2002,116724075,4.1e+07,"Action","Comedy","Crime",NA,NA,NA
"1178",2015,NA,NA,"Drama","Music",NA,NA,NA,NA
"1179",2001,56083966,6.5e+07,"Adventure","Animation","Comedy","Family",NA,NA
"1180",2003,22108977,4.1e+07,"Action","Adventure","Romance",NA,NA,NA
"1181",1999,293501675,4e+07,"Action","Comedy","Fantasy",NA,NA,NA
"1182",2012,18600911,4.2e+07,"Drama","Mystery","Thriller",NA,NA,NA
"1183",2011,7204138,4.1e+07,"Action","Crime","Thriller",NA,NA,NA
"1184",1984,90800000,8e+06,"Comedy",NA,NA,NA,NA,NA
"1185",2013,150117807,4e+07,"Action","Drama","Family","Sport",NA,NA
"1186",2009,163947053,4e+07,"Crime","Drama",NA,NA,NA,NA
"1187",1999,116735231,7e+07,"Comedy","Drama","Romance",NA,NA,NA
"1188",1989,118500000,4e+07,"Crime","Mystery","Thriller",NA,NA,NA
"1189",2014,126546825,4e+07,"Adventure","Comedy","Sci-Fi",NA,NA,NA
"1190",2015,166147885,4e+07,"Action","Sci-Fi","Thriller",NA,NA,NA
"1191",2003,111760631,3.8e+07,"Drama","Romance",NA,NA,NA,NA
"1192",1996,108706165,4e+07,"Action","Adventure","Comedy","Family","Sci-Fi",NA
"1193",2003,138614544,4e+07,"Crime","Drama","Thriller",NA,NA,NA
"1194",2013,125069696,4e+07,"Comedy","Family",NA,NA,NA,NA
"1195",1992,107458785,4e+07,"Action","Biography","Drama","Thriller","War",NA
"1196",2016,102310175,4e+07,"Comedy","Drama","Sport",NA,NA,NA
"1197",2010,96917897,4e+07,"Horror","Mystery","Thriller",NA,NA,NA
"1198",2009,93952276,4e+07,"Biography","Drama",NA,NA,NA,NA
"1199",2006,90703745,4.5e+07,"Comedy","Drama","Romance",NA,NA,NA
"1200",2000,89138076,4e+07,"Comedy",NA,NA,NA,NA,NA
"1201",1990,87666629,4e+07,"Horror","Mystery",NA,NA,NA,NA
"1202",2015,90353764,4e+07,"Adventure","Comedy","Sci-Fi","Western",NA,NA
"1203",1992,82522790,4e+07,"Comedy","Crime",NA,NA,NA,NA
"1204",2009,94125426,4e+07,"Fantasy","Horror","Romance",NA,NA,NA
"1205",2013,95001343,4e+07,"Biography","Drama","Romance",NA,NA,NA
"1206",1999,81292135,4e+07,"Biography","Drama","Sport",NA,NA,NA
"1207",2014,86208010,3.5e+07,"Crime","Drama","Thriller",NA,NA,NA
"1208",2006,81593527,4e+07,"Comedy",NA,NA,NA,NA,NA
"1209",2015,75274748,3.5e+07,"Adventure","Drama","Family",NA,NA,NA
"1210",2016,90835030,4e+07,"Comedy","Drama",NA,NA,NA,NA
"1211",1992,72455275,4e+07,"Action","Comedy",NA,NA,NA,NA
"1212",2004,75305995,4e+07,"Action","Adventure","Drama","Romance","War",NA
"1213",2005,74098862,4e+07,"Biography","Drama","Music",NA,NA,NA
"1214",2008,72266306,4e+07,"Crime","Thriller",NA,NA,NA,NA
"1215",2009,71347010,4e+07,"Crime","Drama","Mystery","Thriller",NA,NA
"1216",2001,70836296,4e+07,"Comedy","Romance",NA,NA,NA,NA
"1217",1991,70405498,4e+07,"Comedy","Drama","Fantasy","Romance",NA,NA
"1218",2006,70163652,4e+07,"Drama","History","Thriller",NA,NA,NA
"1219",2001,66808615,3.4e+07,"Comedy","Crime",NA,NA,NA,NA
"1220",2014,115603980,6.5e+07,"Adventure","Comedy","Crime","Romance",NA,NA
"1221",2009,64149837,2e+07,"Biography","Drama","Sport","War",NA,NA
"1222",2014,83906114,4e+07,"Comedy","Drama","Family","Fantasy","Romance",NA
"1223",2009,66466372,4e+07,"Comedy","Romance",NA,NA,NA,NA
"1224",2015,72306065,4e+07,"Horror",NA,NA,NA,NA,NA
"1225",2001,59068786,4e+07,"Drama","History","Thriller",NA,NA,NA
"1226",2010,60923325,NA,"Action","Drama","Thriller","War",NA,NA
"1227",2004,57887882,5e+07,"Comedy","Music",NA,NA,NA,NA
"1228",1998,53955614,4e+07,"Comedy","Drama","Romance",NA,NA,NA
"1229",1997,54967359,4e+07,"Action","Adventure","Comedy","Family","Sci-Fi",NA
"1230",2002,54228104,3.5e+07,"Action","Horror",NA,NA,NA,NA
"1231",2011,57981889,4e+07,"Action","Adventure","Drama","Romance","Thriller",NA
"1232",2011,61094903,3e+07,"Crime","Drama","Thriller",NA,NA,NA
"1233",2006,53082743,4e+07,"Action","Mystery","Thriller",NA,NA,NA
"1234",2014,54414716,4.2e+07,"Drama","Mystery","Sci-Fi","Thriller",NA,NA
"1235",2013,57011847,4e+07,"Comedy","Crime",NA,NA,NA,NA
"1236",2006,50859889,4e+07,"Adventure","Animation","Comedy","Family","Sci-Fi",NA
"1237",1987,51185897,3e+07,"Action","Adventure","Drama","Thriller",NA,NA
"1238",2010,52000688,4e+07,"Action","Adventure","Thriller",NA,NA,NA
"1239",1986,49851591,4e+07,"Action","Adventure","Sci-Fi","Thriller",NA,NA
"1240",2004,47781388,4e+07,"Comedy","Crime","Romance",NA,NA,NA
"1241",2006,52320979,4e+07,"Mystery","Thriller",NA,NA,NA,NA
"1242",2005,47806295,4.3e+07,"Drama","Fantasy","Romance",NA,NA,NA
"1243",2012,51853450,2.5e+07,"Horror","Mystery","Thriller",NA,NA,NA
"1244",2008,46012734,4e+07,"Comedy","Drama","Family","Fantasy",NA,NA
"1245",2014,47034272,4e+07,"Comedy","Romance",NA,NA,NA,NA
"1246",1997,45856732,4e+07,"Biography","Drama","Music","Musical",NA,NA
"1247",2003,59588068,4e+07,"Crime","Drama","Thriller",NA,NA,NA
"1248",1997,44175394,3.6e+07,"Horror","Mystery","Thriller",NA,NA,NA
"1249",1992,45500797,4e+07,"Drama","History",NA,NA,NA,NA
"1250",2007,41797066,4e+07,"Adventure","Drama","Romance",NA,NA,NA
"1251",1994,38087756,4e+07,"Action","Horror","Sci-Fi","Thriller",NA,NA
"1252",2000,37752931,4e+07,"Comedy","Family",NA,NA,NA,NA
"1253",2007,50562555,NA,"Drama","Romance",NA,NA,NA,NA
"1254",2011,37371385,4e+07,"Comedy","Music","Romance",NA,NA,NA
"1255",2012,37101011,4e+07,"Adventure","Comedy","Sci-Fi",NA,NA,NA
"1256",2011,38176892,4e+07,"Comedy","Drama",NA,NA,NA,NA
"1257",1999,36283504,4e+07,"Horror","Mystery",NA,NA,NA,NA
"1258",1991,35183792,3.8e+07,"Mystery","Thriller",NA,NA,NA,NA
"1259",2014,38543473,4e+07,"Biography","Drama","Music","Musical",NA,NA
"1260",2000,36037909,6e+07,"Comedy",NA,NA,NA,NA,NA
"1261",2011,42575718,4e+07,"Comedy","Drama",NA,NA,NA,NA
"1262",1999,33864342,4e+07,"Horror",NA,NA,NA,NA,NA
"1263",2000,33508922,4e+07,"Comedy","Crime","Romance",NA,NA,NA
"1264",2005,42071069,3e+07,"Drama",NA,NA,NA,NA,NA
"1265",NA,NA,NA,"Comedy","Drama","Romance","Sport",NA,NA
"1266",2008,32853640,4e+07,"Animation","Comedy","Family",NA,NA,NA
"1267",2014,42615685,4e+07,"Comedy","Drama",NA,NA,NA,NA
"1268",1994,32055248,2.5e+07,"Comedy","Western",NA,NA,NA,NA
"1269",2011,31836745,4e+07,"Action","Adventure","Crime","Fantasy","Mystery","Thriller"
"1270",2010,30993544,4e+07,"Adventure","Drama","Mystery",NA,NA,NA
"1271",2005,30981850,4e+07,"Comedy","Drama","Romance",NA,NA,NA
"1272",2000,30199105,4e+07,"Biography","Crime","Drama","Music",NA,NA
"1273",2005,29077547,4e+07,"Action","Adventure","Crime","Thriller",NA,NA
"1274",2000,29374178,4e+07,"Drama","Musical","Romance",NA,NA,NA
"1275",1999,28535768,4e+07,"Crime","Drama","Horror","Thriller",NA,NA
"1276",1996,27663982,4e+07,"Comedy",NA,NA,NA,NA,NA
"1277",2001,27053815,4e+07,"Horror","Sci-Fi","Thriller",NA,NA,NA
"1278",2008,26814957,3.5e+07,"Action","Adventure","Romance",NA,NA,NA
"1279",2001,25178165,4e+07,"Biography","Drama","History","Romance",NA,NA
"1280",2007,25117498,4e+07,"Drama","Romance",NA,NA,NA,NA
"1281",1973,32645,5e+05,"Horror","Thriller",NA,NA,NA,NA
"1282",1994,24332324,4e+07,"Crime","Drama","Romance","Thriller",NA,NA
"1283",2011,36665854,4e+07,"Comedy","Drama",NA,NA,NA,NA
"1284",1998,22717758,4e+07,"Action","Crime","Drama","Thriller",NA,NA
"1285",2002,22433915,6e+07,"Adventure","Animation","Comedy","Drama","Family","Fantasy"
"1286",1999,22326247,6e+07,"Crime","Drama","Mystery","Thriller",NA,NA
"1287",2004,21176322,4e+07,"Drama","Romance",NA,NA,NA,NA
"1288",1996,20300000,4e+07,"Action","Comedy","Crime",NA,NA,NA
"1289",1995,20302961,4.5e+07,"Drama","Thriller",NA,NA,NA,NA
"1290",2006,15962471,4e+07,"Drama",NA,NA,NA,NA,NA
"1291",1995,14942422,4e+07,"Biography","Drama","History","Romance",NA,NA
"1292",2000,14967182,4e+07,"Action","Crime","Thriller",NA,NA,NA
"1293",2012,18996755,4.5e+07,"Action","Crime","Drama","Thriller",NA,NA
"1294",1987,14375181,5.1e+07,"Drama","Thriller",NA,NA,NA,NA
"1295",2009,20999103,4e+07,"Action","Adventure","Comedy","Music","Thriller",NA
"1296",2002,14448589,4e+07,"Adventure","Animation","Comedy","Crime","Family",NA
"1297",1992,14358033,4e+07,"Comedy","Romance",NA,NA,NA,NA
"1298",2001,33201661,7.7e+07,"Comedy","Romance","Sci-Fi","Thriller",NA,NA
"1299",2004,14018364,3e+07,"Comedy","Romance",NA,NA,NA,NA
"1300",2004,13395939,6e+07,"Comedy","Crime","Family","Romance",NA,NA
"1301",2012,20113965,4e+07,"Comedy","Drama","Romance",NA,NA,NA
"1302",1999,13376506,4e+07,"Biography","Drama","Romance",NA,NA,NA
"1303",2002,13208023,4.2e+07,"Drama",NA,NA,NA,NA,NA
"1304",2009,13838130,4e+07,"Crime","Horror","Thriller",NA,NA,NA
"1305",2015,5773519,4e+07,"Action","Adventure","Fantasy","Thriller",NA,NA
"1306",2003,9652000,4e+07,"Drama","Horror","Sci-Fi","Thriller",NA,NA
"1307",2008,12081447,NA,"Comedy",NA,NA,NA,NA,NA
"1308",1980,7e+06,3.6e+07,"Comedy","Drama","Music",NA,NA,NA
"1309",1999,10431220,2.4e+07,"Action","Adventure","Drama","Thriller",NA,NA
"1310",2009,10326062,3.3e+07,"Action","Sci-Fi",NA,NA,NA,NA
"1311",2001,6114237,4e+07,"Action","Horror","Mystery","Sci-Fi","Thriller",NA
"1312",2002,4835968,4e+07,"Drama","Mystery","Sci-Fi","Thriller",NA,NA
"1313",2001,4777007,4e+07,"Action","Adventure","Thriller",NA,NA,NA
"1314",2007,3675072,2.6e+07,"Comedy","Fantasy","Sci-Fi",NA,NA,NA
"1315",2012,18438149,4e+07,"Adventure","Sci-Fi","Thriller",NA,NA,NA
"1316",2008,511920,4e+07,"Comedy","Drama",NA,NA,NA,NA
"1317",2015,10640645,4e+07,"Adventure","Animation","Comedy","Fantasy","Romance",NA
"1318",2006,652526,4e+07,"Action","Crime","Drama","Mystery","Thriller",NA
"1319",2007,80050171,2e+07,"Action","Adventure","Family","Thriller",NA,NA
"1320",1995,7564000,2e+07,"Drama","Mystery","Thriller",NA,NA,NA
"1321",2007,876671,2.5e+07,"Comedy","Crime","Drama","Thriller",NA,NA
"1322",1994,2869369,3e+07,"Adventure","Comedy","Drama","Romance","Thriller","War"
"1323",2007,128978,4e+07,"Comedy","Fantasy",NA,NA,NA,NA
"1324",2005,77231,2.5e+07,"Action","Drama","History","Romance","War",NA
"1325",2013,4563029,39200000,"Drama","History","War",NA,NA,NA
"1326",2011,NA,2.5e+07,"Action","Drama","Sci-Fi","Thriller",NA,NA
"1327",2004,463730,NA,"Adventure","Animation","Comedy","Fantasy","Music","Romance"
"1328",1994,50693162,2.3e+07,"Comedy",NA,NA,NA,NA,NA
"1329",2015,6498000,18026148,"Action","Drama","Fantasy",NA,NA,NA
"1330",2009,63411478,3.9e+07,"Action","Adventure","Drama","Fantasy","War",NA
"1331",2007,42640890,NA,"Drama","Fantasy","Romance","Sci-Fi",NA,NA
"1332",2001,144512310,3.8e+07,"Comedy","Romance",NA,NA,NA,NA
"1333",2012,35287788,3.9e+07,"Action","Crime","Thriller",NA,NA,NA
"1334",2005,25335935,4e+07,"Animation","Comedy","Family","Horror","Sci-Fi",NA
"1335",2004,5881504,3.9e+07,"Action","Adventure","Sci-Fi","Thriller",NA,NA
"1336",1983,6e+07,3.9e+07,"Biography","Drama","Romance","Sport",NA,NA
"1337",2013,29802761,4e+07,"Action","Comedy","Sci-Fi",NA,NA,NA
"1338",2008,626809,553632000,"Comedy","Sport",NA,NA,NA,NA
"1339",2002,127214072,3.8e+07,"Action","Adventure","Drama","History","War",NA
"1340",2009,88915214,3.8e+07,"Comedy","Romance",NA,NA,NA,NA
"1341",1996,30400000,3.9e+07,"Comedy","Romance",NA,NA,NA,NA
"1342",2002,85570368,3.8e+07,"Comedy",NA,NA,NA,NA,NA
"1343",1994,75668868,3.5e+07,"Action","Adventure","Comedy","Family","Sci-Fi",NA
"1344",2013,6594136,38600000,"Action","Adventure","Mystery","Sci-Fi","Thriller",NA
"1345",2011,58700247,3.8e+07,"Action","Biography","Drama",NA,NA,NA
"1346",NA,NA,NA,"Drama","Romance",NA,NA,NA,NA
"1347",2014,NA,4e+07,"Comedy","Family","Sci-Fi",NA,NA,NA
"1348",1999,50668906,3.8e+07,"Adventure","Animation","Family","Fantasy",NA,NA
"1349",2002,39177215,3.8e+07,"Biography","Drama","Sport",NA,NA,NA
"1350",2001,40334024,3.5e+07,"Crime","Drama","Thriller",NA,NA,NA
"1351",2015,71038190,3e+07,"Comedy","Crime","Romance",NA,NA,NA
"1352",2001,24044532,3.8e+07,"Action","Comedy","Crime",NA,NA,NA
"1353",2001,22770864,3.8e+07,"Drama","Romance",NA,NA,NA,NA
"1354",1999,18653746,3.8e+07,"Comedy","Drama",NA,NA,NA,NA
"1355",1996,17305211,3.8e+07,"Mystery","Thriller",NA,NA,NA,NA
"1356",2001,16991902,5.7e+07,"Crime","Drama","Mystery","Thriller",NA,NA
"1357",2009,47536959,1e+07,"Drama","Music",NA,NA,NA,NA
"1358",1996,10300000,3.8e+07,"Drama",NA,NA,NA,NA,NA
"1359",1982,13782838,1.5e+07,"Adventure","Drama",NA,NA,NA,NA
"1360",2013,41997790,3.8e+07,"Horror","Mystery","Sci-Fi",NA,NA,NA
"1361",1997,6482195,3.7e+07,"Action","Sci-Fi","Thriller",NA,NA,NA
"1362",2001,623374,3.8e+07,"Crime","Mystery","Thriller",NA,NA,NA
"1363",2008,7871693,5.5e+07,"Action","Adventure","Drama","Thriller","Western",NA
"1364",2012,16377274,3.2e+07,"Adventure","Family","Fantasy","Sci-Fi",NA,NA
"1365",2007,NA,3.8e+07,"Drama",NA,NA,NA,NA,NA
"1366",2008,9589875,4e+07,"Adventure","Comedy","History","Romance",NA,NA
"1367",2016,34912982,3.8e+07,"Biography","Drama","Sport",NA,NA,NA
"1368",2015,109712885,3.5e+07,"Action","Adventure","Sci-Fi","Thriller",NA,NA
"1369",2010,92173235,3.7e+07,"Drama","Sport",NA,NA,NA,NA
"1370",2012,41102171,4e+07,"Crime","Drama","Thriller",NA,NA,NA
"1371",2008,60338891,3.7e+07,"Comedy","Drama","Romance",NA,NA,NA
"1372",2008,48006503,3.7e+07,"Comedy","Drama",NA,NA,NA,NA
"1373",2013,26903709,3.8e+07,"Adventure","Comedy","Family","Fantasy",NA,NA
"1374",1999,22450975,3.7e+07,"Action","Biography","Drama","Sport",NA,NA
"1375",2010,44867349,3.7e+07,"Drama",NA,NA,NA,NA,NA
"1376",2016,46813366,3.8e+07,"Action","Comedy","Crime",NA,NA,NA
"1377",2011,72279690,3.7e+07,"Comedy","Romance",NA,NA,NA,NA
"1378",2008,191449475,3.7e+07,"Drama","Family",NA,NA,NA,NA
"1379",2002,71026631,3.6e+07,"Drama","Fantasy","Romance",NA,NA,NA
"1380",1999,68208190,6.5e+07,"Crime","Drama","Thriller",NA,NA,NA
"1381",2013,150368971,3.7e+07,"Action","Comedy","Crime","Thriller",NA,NA
"1382",2009,NA,29500000,"Comedy","Crime",NA,NA,NA,NA
"1383",1997,50129186,3.6e+07,"Action","Adventure","Sci-Fi",NA,NA,NA
"1384",1983,55500000,3.6e+07,"Action","Crime","Drama","Mystery","Thriller",NA
"1385",2010,50213619,3.6e+07,"Action","Adventure","Thriller",NA,NA,NA
"1386",2014,42019483,3.6e+07,"Comedy","Sci-Fi",NA,NA,NA,NA
"1387",2000,23360779,3.4e+07,"Drama","Family",NA,NA,NA,NA
"1388",2003,26183197,3.6e+07,"Action","Adventure","Crime","Drama","Family","Fantasy"
"1389",2015,20991497,3.7e+07,"Action","Crime","Drama","Thriller",NA,NA
"1390",1996,13052741,3.6e+07,"Comedy","Drama","Romance",NA,NA,NA
"1391",1999,14378353,3.6e+07,"Drama","History",NA,NA,NA,NA
"1392",2011,33037754,3.7e+07,"Drama","Mystery","Romance","Thriller",NA,NA
"1393",1997,12339633,3.6e+07,"Drama","Horror","Mystery","Thriller",NA,NA
"1394",2000,2954405,3.6e+07,"Drama","Sci-Fi","Thriller",NA,NA,NA
"1395",2008,30105968,3.7e+07,"Biography","Comedy","Romance",NA,NA,NA
"1396",2003,37788228,35200000,"Adventure","Animation","Comedy","Family","Sci-Fi",NA
"1397",2009,277313371,3.5e+07,"Comedy",NA,NA,NA,NA,NA
"1398",2015,2126511,3.6e+07,"Comedy",NA,NA,NA,NA,NA
"1399",1999,205399422,3.3e+07,"Action","Biography","Drama","History",NA,NA
"1400",1989,251188924,3.5e+07,"Action","Adventure","Comedy","Crime",NA,NA
"1401",2011,1068392,3.6e+07,"Action","Adventure",NA,NA,NA,NA
"1402",1992,144731527,3.5e+07,"Biography","Drama","War",NA,NA,NA
"1403",2009,255950375,2.9e+07,"Action","Crime","Thriller",NA,NA,NA
"1404",NA,NA,NA,"Biography","Drama","Sport",NA,NA,NA
"1405",2001,112692062,3.5e+07,"Action","Comedy","Crime",NA,NA,NA
"1406",2011,117528646,3.5e+07,"Action","Adventure","Comedy","Family","Sci-Fi",NA
"1407",2010,171031347,3.8e+07,"Comedy","Crime",NA,NA,NA,NA
"1408",2006,124732962,3.5e+07,"Adventure","Drama","Western",NA,NA,NA
"1409",1979,82300000,3.5e+07,"Comedy","Drama","Romance",NA,NA,NA
"1410",2013,134455175,3.5e+07,"Adventure","Mystery","Sci-Fi",NA,NA,NA
"1411",1991,79100000,3.5e+07,"Comedy","Crime",NA,NA,NA,NA
"1412",2008,81159365,3.5e+07,"Crime","Thriller",NA,NA,NA,NA
"1413",2015,110008260,3.5e+07,"Crime","Drama","Thriller",NA,NA,NA
"1414",2005,67962333,3.5e+07,"Comedy","Romance",NA,NA,NA,NA
"1415",1996,78651430,2.7e+07,"Comedy","Romance",NA,NA,NA,NA
"1416",1997,64604977,3.5e+07,"Drama","Romance","War",NA,NA,NA
"1417",2005,63939454,3.5e+07,"Crime","Drama","Mystery","Thriller",NA,NA
"1418",1997,63826569,3.5e+07,"Adventure","Comedy","Family","Sci-Fi",NA,NA
"1419",1995,60054449,3.5e+07,"Comedy",NA,NA,NA,NA,NA
"1420",1984,26505000,1800000,"Action","Horror","Sci-Fi","Thriller",NA,NA
"1421",2000,61280963,3.3e+07,"Horror",NA,NA,NA,NA,NA
"1422",1998,56876365,3.5e+07,"Horror","Sci-Fi","Thriller",NA,NA,NA
"1423",2010,59699513,3.5e+07,"Action","Adventure",NA,NA,NA,NA
"1424",2007,54132596,3.4e+07,"Biography","Drama","Family","History","Sport",NA
"1425",2003,52277485,3.5e+07,"Action","Adventure","Animation","Comedy","Family","Fantasy"
"1426",2011,55802754,3.5e+07,"Biography","Drama","Sport",NA,NA,NA
"1427",2016,55291815,3.5e+07,"Comedy","Romance",NA,NA,NA,NA
"1428",2013,83299761,3.5e+07,"Comedy",NA,NA,NA,NA,NA
"1429",1992,48169908,3.3e+07,"Biography","Comedy","Drama","History","Music",NA
"1430",2012,67523385,3.5e+07,"Biography","Drama","History","Romance",NA,NA
"1431",2009,49474048,3.5e+07,"Comedy",NA,NA,NA,NA,NA
"1432",2009,45802315,3.5e+07,"Comedy","Family",NA,NA,NA,NA
"1433",2007,43792641,3.5e+07,"Action","Adventure","Fantasy","Sci-Fi","Thriller",NA
"1434",2006,57651794,3.3e+07,"Comedy","Romance",NA,NA,NA,NA
"1435",2005,43894863,3e+07,"Comedy","Romance","Sport",NA,NA,NA
"1436",1997,41954997,3.5e+07,"Comedy","Romance",NA,NA,NA,NA
"1437",2002,39532308,3.3e+07,"Biography","Crime","Drama",NA,NA,NA
"1438",1982,76600000,10700000,"Action","Horror","Sci-Fi",NA,NA,NA
"1439",2004,39692139,3.5e+07,"Fantasy","Horror",NA,NA,NA,NA
"1440",2008,40687294,3.5e+07,"Comedy","Crime","Thriller",NA,NA,NA
"1441",2011,37553932,4e+07,"Action","Crime","Drama","Mystery","Thriller",NA
"1442",2010,37481242,3.5e+07,"Action","Sci-Fi","Thriller",NA,NA,NA
"1443",2011,39026186,3.5e+07,"Comedy","Romance",NA,NA,NA,NA
"1444",NA,NA,NA,"Comedy","Drama","Romance",NA,NA,NA
"1445",2001,33422806,5e+07,"Drama","Romance",NA,NA,NA,NA
"1446",1976,NA,NA,"Adventure","Comedy","Fantasy",NA,NA,NA
"1447",1994,33423521,3.5e+07,"Comedy","Drama","Family","Sport",NA,NA
"1448",2002,32519322,3.5e+07,"Action","Adventure","Comedy","Thriller",NA,NA
"1449",2001,31598308,3.5e+07,"Biography","Drama","War",NA,NA,NA
"1450",2006,37617947,3e+07,"Horror","Mystery","Thriller",NA,NA,NA
"1451",2005,32048809,3e+07,"Drama","Family","Fantasy",NA,NA,NA
"1452",2004,33987757,2.7e+07,"Horror",NA,NA,NA,NA,NA
"1453",2011,37304950,3.5e+07,"Drama","Romance",NA,NA,NA,NA
"1454",2008,30691439,3.5e+07,"Biography","Crime","Drama",NA,NA,NA
"1455",2002,30307804,3.5e+07,"Horror","Mystery",NA,NA,NA,NA
"1456",1990,30669413,3.5e+07,"Drama","Fantasy","Horror",NA,NA,NA
"1457",2008,28687835,3.5e+07,"Action","Horror","Sci-Fi",NA,NA,NA
"1458",1999,26494611,3.5e+07,"Crime","Drama","Thriller",NA,NA,NA
"1459",1980,NA,2e+07,"Comedy","Drama","Romance","Sci-Fi",NA,NA
"1460",2004,25266129,3.5e+07,"Action","Adventure","Sci-Fi",NA,NA,NA
"1461",2012,25863915,3.5e+07,"Comedy","Drama","Romance",NA,NA,NA
"1462",1997,25078937,3e+07,"Action","Crime","Mystery","Thriller",NA,NA
"1463",2015,NA,1.9e+07,"Crime","Drama","Mystery","Thriller",NA,NA
"1464",2010,28995450,3.5e+07,"Action","Crime","Thriller",NA,NA,NA
"1465",1992,24276500,3.5e+07,"Comedy","Family","Fantasy",NA,NA,NA
"1466",2008,20981633,3e+07,"Biography","Crime","Drama",NA,NA,NA
"1467",2004,22913677,3.5e+07,"Drama","Mystery","Sci-Fi","Thriller",NA,NA
"1468",2015,34531832,3.5e+07,"Comedy","Family","Fantasy","Romance",NA,NA
"1469",2011,28064226,3.5e+07,"Biography","Drama","Sport",NA,NA,NA
"1470",2005,19447478,3.5e+07,"Action","Mystery","Thriller",NA,NA,NA
"1471",2000,19389454,5.5e+07,"Adventure","Animation","Comedy","Family","War",NA
"1472",2008,25871834,3.5e+07,"Comedy","Drama",NA,NA,NA,NA
"1473",2013,19692608,3.5e+07,"Action","Comedy","Sci-Fi","Thriller",NA,NA
"1474",2005,19294901,3.5e+07,"Crime","Drama","Thriller",NA,NA,NA
"1475",2012,20275446,3.5e+07,"Comedy","Horror",NA,NA,NA,NA
"1476",2015,34507079,3.5e+07,"Action","Crime","Thriller",NA,NA,NA
"1477",2002,18306166,3.5e+07,"Action","Comedy","Crime",NA,NA,NA
"1478",2013,17609982,3.5e+07,"Adventure","Drama","Romance","War",NA,NA
"1479",2004,16831505,3.1e+07,"Action","Crime","Romance","Thriller",NA,NA
"1480",2010,17596256,3.5e+07,"Comedy","Romance","Sport",NA,NA,NA
"1481",2012,NA,3e+07,"Comedy","Family",NA,NA,NA,NA
"1482",1983,NA,2.7e+07,"Action","Horror","Sci-Fi",NA,NA,NA
"1483",2007,14998070,3.5e+07,"Action","Adventure","Fantasy",NA,NA,NA
"1484",1991,14587732,3.5e+07,"Drama","Thriller","War",NA,NA,NA
"1485",2007,18317151,3.5e+07,"Action","Drama","Thriller","War",NA,NA
"1486",2001,11405825,3.5e+07,"Comedy","Music",NA,NA,NA,NA
"1487",2001,13264986,3.5e+07,"Drama",NA,NA,NA,NA,NA
"1488",2009,10991381,3.5e+07,"Action","Western",NA,NA,NA,NA
"1489",2009,10268846,3.5e+07,"Biography","Drama","History","Romance",NA,NA
"1490",2011,13303319,3.2e+07,"Action","Crime","Mystery","Thriller",NA,NA
"1491",1998,10076136,3.5e+07,"Drama","Fantasy",NA,NA,NA,NA
"1492",2014,10499968,3.5e+07,"Action","Comedy","Thriller",NA,NA,NA
"1493",2003,7659747,3.8e+07,"Action","Crime","Drama","Thriller",NA,NA
"1494",2008,7948159,3.5e+07,"Action","Mystery","Thriller",NA,NA,NA
"1495",2006,11631245,3.5e+07,"Action","Crime","Drama","Thriller",NA,NA
"1496",2015,10137502,3.5e+07,"Action","Adventure","Family","Sci-Fi",NA,NA
"1497",1997,6448817,3.5e+07,"Adventure","Biography","Drama","Thriller",NA,NA
"1498",2006,7458269,3.5e+07,"Action","Adventure","Fantasy",NA,NA,NA
"1499",NA,NA,NA,"Comedy","Drama","Romance",NA,NA,NA
"1500",1992,4651977,3.5e+07,"Crime","Drama","Mystery","Thriller",NA,NA
"1501",1993,4496583,3.5e+07,"Drama",NA,NA,NA,NA,NA
"1502",1997,2221994,3.5e+07,"Crime","Drama",NA,NA,NA,NA
"1503",2002,6592103,3.5e+07,"Action","Drama","Sci-Fi","Thriller",NA,NA
"1504",1980,NA,3.5e+07,"Crime","Drama","Mystery","Thriller",NA,NA
"1505",1995,1877179,NA,"Biography","Drama","History","War",NA,NA
"1506",1999,630779,3.5e+07,"Adventure","Drama","Romance","War",NA,NA
"1507",2010,5100937,NA,"Drama","Romance","War","Western",NA,NA
"1508",2015,NA,NA,"Drama",NA,NA,NA,NA,NA
